"X_uid_","id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","geom","z"
57,13731003,2022-07-25,"Rua Adrino Leopoldo de souza","AGUAS CLARAS","internet","Teresinho Baron","https://www.teresinhabaron.com.br/venda/1454/Terreno-Bairro-Aguas-Claras","Dom_Geo_03",3,706762.21,6995138.04,"Baixo Potencial",0,1323.15,1229.14,290.54,1,1521.7,855.84,572,279.72,160000,c(706762.211037306, 6995138.04078491),279.72
58,13661167,2022-07-12,"Rua Estados Unidos","LIMEIRA BAIXA","internet","planifik",NA,"Dom_Geo_03",4,711541.96,7002408.26,"Baixo Potencial",0,1206.08,2177.43,2295.17,1,2720.9,160.66,411.85,291.37,120000,c(711541.962865619, 7002408.25538627),291.37
59,13750686,2022-07-27,"Rua Arnaldo Lussoli","AGUAS CLARAS","internet","Vitor Imoveis","https://vitorimoveis-sc.com.br/imovel.php?id=3158","Dom_Geo_03",3,707838.8,6995179.49,"Baixo Potencial",0,1309.23,330.27,758.52,258.52,478.56,1,325,292.31,95000,c(707838.800497267, 6995179.49134088),292.31
60,13677291,2022-07-12,"Rua Arnoldo Ristow","ZANTAO","internet","planifik",NA,"Dom_Geo_03",3,707133.33,6993421.32,"Baixo Potencial",0,1190.45,584.25,2046.92,78.39,1871.86,1780.5,720,294.44,212000,c(707133.328082379, 6993421.31749543),294.44
61,13750669,2022-07-27,"Rua onze de maio","SAO JOAO","internet","Hoffmann","https://www.imobiliariahoffmann.com.br/imovel/504/terreno-em-brusque-no-bairro-cedro-alto/","Dom_Geo_03",0,701714.28,6993229.86,"Baixo Potencial",0,1154.06,5860.46,2377.8,262.72,529.31,81.36,610,295.08,180000,c(701714.276964039, 6993229.86483842),295.08
62,13721432,2002-07-20,"Rua Anoldo Ristow","ZANTAO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/5023","Dom_Geo_03",3,707069.03,6992436.64,"Baixo Potencial",0,1139.98,1270.23,3007.41,1049.53,2742.74,2753.2,720,298.61,215000,c(707069.034593577, 6992436.64464626),298.61
66,13730976,2022-07-25,"Lot. Santa monica","LIMOEIRO","internet","ARG","http://www.imoveisdebrusque.com.br/imovel/96211/terreno-pronto-pra-construir/","Dom_Geo_02",1,710147.79,7006525.28,"Baixo Potencial",0,1329,924.15,511.11,616.91,1256.38,1,420,309.52,130000,c(710147.791437907, 7006525.27528533),309.52
67,13697432,2022-07-14,"Rua Carlos Ristow","AZAMBUJA","internet","Amo imoveis",NA,"Dom_Geo_03",3,707170.48,6996672.78,"Baixo Potencial",0,1317.71,1040.34,302.98,235.53,2017.4,91.81,838,310.26,260000,c(707170.484431557, 6996672.78383762),310.26
69,13647386,2022-07-12,"Rua ZT-013","ZANTAO","internet","Julio imoveis",NA,"Dom_Geo_03",3,707720.89,6992748.77,"Baixo Potencial",0,1126.22,720.17,2861.58,769.99,2217.8,2386.55,540,314.81,170000,c(707720.888231814, 6992748.76529281),314.81
71,13697836,2022-07-15,"Rua fernando Brandt","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-408-m-por-130000-limeira-brusque-sc/TE0191-ZUCC?from=sale","Dom_Geo_03",4,711516.45,7003799.59,"Baixo Potencial",0,1338.79,1390.07,1426.42,763.21,1419.54,1301.3,408,318.63,130000,c(711516.450448973, 7003799.58780399),318.63
72,13698010,2022-07-18,"Lot. Jd. Alamandas","LIMEIRA BAIXA","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/1098/terreno-no-bairro-limeira-baixa-brusque-venda-RS115000","Dom_Geo_03",4,712598.35,7003210.61,"Baixo Potencial",0,1265.71,2618.96,2650.85,1,2030.47,1404.58,360,319.44,115000,c(712598.346003083, 7003210.60979908),319.44
73,13710606,2022-07-18,"SF 006","STEFFEN","internet","PRIMAX","https://www.primaximoveis.com.br/imovel/terreno-no-bairro-steffen-brusque-venda-RS315000/15681","Dom_Geo_01",2,707297.57,7003700.83,"Baixo Potencial",0,1340.48,516.6,475.87,157.14,1094.79,1128.2,975,323.08,315000,c(707297.574853783, 7003700.82692207),323.08
74,13697845,2022-07-15,"Rua Octaviano Rosa",NA,"internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-a-venda-431-m-por-140000-cedro-alto-brusque-sc/TE0008-ZUCC?from=sale",NA,0,699876.81,6990563.23,"Baixo Potencial",0,1192.15,8349.69,3525.89,2966.9,1829.41,2463.43,431,324.83,140000,c(699876.807405876, 6990563.22743348),324.83
76,13698030,2022-07-18,"Lot. Prospero Cadore","LIMEIRA BAIXA","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4989/terreno-no-bairro-limeira-baixa-brusque-venda-RS135000","Dom_Geo_03",4,712249.44,7002724.76,"Baixo Potencial",0,1232.97,2526.68,2690.7,1,2475.43,893.06,411.84,327.8,135000,c(712249.436666825, 7002724.76400434),327.8
77,13735302,2022-07-26,"Rua Amalia schlinwein klann","AZAMBUJA","internet","Imovel WEB","https://www.imovelweb.com.br/propriedades/terreno-na-souza-cruz-2965771704.html","Dom_Geo_03",2,705801.15,6999368.48,"Baixo Potencial",0,1798.62,1046.17,481.12,27.77,249.07,1633.93,800,331.25,265000,c(705801.148247626, 6999368.4828462),331.25
80,13700380,2022-07-18,"Lot. Independencia","AGUAS CLARAS","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4040/terreno-no-bairro-aguas-claras-brusque-venda-RS125000","Dom_Geo_03",3,706694.45,6994695.96,"Baixo Potencial",0,1305.13,1034.6,724.07,1,1597.07,1022.63,360,347.22,125000,c(706694.450750445, 6994695.95689448),347.22
83,13647401,2022-07-12,"Wanda Kreidlow","AGUAS CLARAS","internet","planifik",NA,"Dom_Geo_03",3,706692.32,6995258.19,"Baixo Potencial",0,1322.62,1363,161.92,1,1607.24,927.06,286,349.65,1e+05,c(706692.316399755, 6995258.19192358),349.65
85,13735271,2022-07-26,"Rua Luiz Boni","PONTA RUSSA","internet","Brusimoveis","https://www.brusimoveis.com.br/detalhes_imovel/131/terreno-no-bairro-ponta-russa-brusque-venda-RS110000","Dom_Geo_03",3,709208.48,6996372.33,"Baixo Potencial",0,1210.68,938.96,1165.92,306.13,1388.96,1671.51,311.92,352.65,110000,c(709208.475356099, 6996372.32867978),352.65
86,13665989,2022-07-12,"Rua Veneza - Lot. Independência","AGUAS CLARAS","internet","planifik",NA,"Dom_Geo_03",3,706675.23,6994356.54,"Baixo Potencial",0,1282.95,942.4,1063.35,1,1697.52,1222.52,360,361.11,130000,c(706675.229315871, 6994356.53774837),361.11
87,13697596,2022-07-14,"Rua Eugenio Brandt","LIMEIRA BAIXA","internet","Moresco","https://imobiliariamoresco.com.br/imovel/3332/terreno-a-venda-limeira-baixa--brusque-sc","Dom_Geo_03",4,711535.7,7002919.52,"Baixo Potencial",0,1248.65,1828.61,1981.17,1,2298.62,441.41,360,361.11,130000,c(711535.701442912, 7002919.51790498),361.11
88,13710570,2022-07-18,"Lot. Independencia","AGUAS CLARAS","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/698/terreno-no-bairro-aguas-claras-brusque-venda-RS130000","Dom_Geo_03",3,706625.23,6994562.26,"Baixo Potencial",0,1295.7,1052.57,859.35,1,1689.1,1146.13,360,361.11,130000,c(706625.226483639, 6994562.25535627),361.11
89,13647402,2022-07-12,"Luiz Boni","PONTA RUSSA","internet","planifik",NA,"Dom_Geo_03",3,709054.34,6996395.02,"Baixo Potencial",0,1229.14,783.57,1031.19,197.98,1411.31,1582.47,311.92,368.68,115000,c(709054.338771026, 6996395.01817878),368.68
90,13697826,2022-07-15,"Lot. Independencia","AGUAS CLARAS","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-417-m-aguas-claras-brusque-a-venda-por-155000/TE0240-ZUCC?from=sale","Dom_Geo_03",3,706869.54,6994433.67,"Baixo Potencial",0,1291.02,782.9,1002.56,1,1488.62,1025.56,417,371.7,155000,c(706869.544669617, 6994433.66879465),371.7
91,13697417,2022-07-14,"Lot. Jd. Alamandas","LIMEIRA BAIXA","internet","Amo imoveis",NA,"Dom_Geo_03",4,712684.59,7003190.94,"Baixo Potencial",0,1261.04,2705.57,2733.98,1,2068.68,1470.52,362,372.93,135000,c(712684.594997329, 7003190.93798681),372.93
92,13697824,2022-07-15,"Rua Luiz Joao Schinkein - Lot. Prospero Cadore","LIMEIRA BAIXA","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-479-m-limeira-brusque-a-venda-por-180000/TE0237-ZUCC?from=sale","Dom_Geo_03",4,711491.52,7002449.82,"Baixo Potencial",0,1208.76,2112.3,2229.87,1,2656.63,109.12,479,375.78,180000,c(711491.517505127, 7002449.81629859),375.78
93,13698028,2022-07-18,"Lot. San Genaro","PRIMEIRO DE MAIO","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/2881/terreno-no-bairro-primeiro-de-maio-brusque-venda-RS175000","Dom_Geo_03",2,707812.3,6998789.47,"Baixo Potencial",0,1451.4,449.19,1552.23,350.85,1,1977.19,465,376.34,175000,c(707812.304484527, 6998789.4705493),376.34
