id,ct_bciinsc,inscricao,potencial_construtivo,renda,dist_via_principal,dist_via_secundaria,dist_polo_padrao,dist_polo_valoriz,dist_polo_desvaloriz,area,predicao
10206334,01.10.006.0639,1100060639,0,1171.43,436.52,696.22,479.16,1212.68,322.93,400,496.44
10206335,01.10.006.0642,1100060642,0,1167.13,476.73,743.32,406.47,1260.72,368.71,400,490.93
10206336,01.10.006.0652,1100060652,0,1168.39,453.05,740.96,424.81,1253.19,370.13,400,497.57
10206337,01.10.006.0667,1100060667,0,1166.86,460.45,757.74,410.15,1268.43,387.79,400,452.63
10206338,01.10.006.0682,1100060682,0,1165.32,466.51,771.37,395.01,1280.79,402.14,400,445.56
10206339,01.10.006.2472,1100062472,0,1191.78,257.35,347.75,720.6,881.45,1.0,400,524.01
10206340,01.10.006.2510,1100062510,0,1213.56,67.66,246.44,1154.53,666.5,33.88,400,621.47
10206341,01.10.006.2505,1100062505,0,1207.33,169.12,244.06,1036.41,716.98,33.88,400,546.23
10206342,01.10.006.2495,1100062495,0,1202.82,229.95,264.92,975.76,787.71,22.39,400,531.61
10206343,01.10.006.0635,1100060635,0,1199.26,218.37,272.75,672.7,763.6,57.57,400,530.78
10206344,01.10.006.2475,1100062475,0,1198.21,286.23,334.04,880.94,871.97,43.37,400,521.46
10206345,01.10.006.2480,1100062480,0,1198.39,240.26,285.44,896.62,823.35,1.0,400,523.43
10206346,01.10.006.2490,1100062490,0,1203.34,249.12,283.94,976.77,805.6,62.71,400,523.93
10206347,01.10.006.1035,1100061035,0,1176.17,229.28,398.28,320.96,915.2,59.32,400,503.68
10206348,01.10.006.0910,1100060910,0,1165.86,517.05,799.6,388.59,1315.84,425.08,400,440.59
10206349,01.10.006.0458,1100060458,0,1166.56,546.54,814.88,387.0,1334.89,438.36,400,432.27
10206350,01.10.006.0909,1100060909,0,1164.29,521.99,810.61,376.42,1325.9,436.53,400,442.08
10206351,01.10.006.0457,1100060457,0,1164.96,551.33,825.52,375.13,1344.65,449.31,400,437.6
10206352,01.10.006.0456,1100060456,0,1163.34,556.02,835.88,362.96,1354.16,460.0,400,438.08
10206353,01.10.006.0908,1100060908,0,1162.7,527.54,822.16,364.5,1336.56,448.51,400,444.58
10206354,01.10.006.0455,1100060455,0,1163.34,560.88,846.68,350.58,1364.07,471.15,400,437.77
10206355,01.10.006.0907,1100060907,0,1162.7,532.2,832.36,352.27,1345.91,459.12,400,437.89
10206356,01.10.006.0563,1100060563,0,1162.44,507.44,812.96,360.51,1323.59,441.45,400,442.21
10206357,01.10.006.0915,1100060915,0,1170.54,494.94,746.76,448.28,1267.47,370.32,400,475.34
10206392,01.10.006.0469,1100060469,0,1175.99,507.6,702.67,517.54,1231.71,325.14,400,476.49
10206359,01.10.006.0914,1100060914,0,1168.99,498.91,757.27,436.6,1277.09,381.18,400,444.64
10206360,01.10.006.0912,1100060912,0,1167.43,507.59,778.39,411.95,1296.43,403.05,400,441.0
10206361,01.10.006.0461,1100060461,0,1168.16,533.24,783.65,422.59,1306.16,406.37,400,434.05
10206362,01.10.006.0913,1100060913,0,1168.99,503.07,767.68,424.9,1286.62,391.95,400,441.68
10206363,01.10.006.0460,1100060460,0,1168.16,537.62,794.37,410.75,1316.03,417.33,400,432.95
10206364,01.10.006.0459,1100060459,0,1166.56,542.07,804.76,399.17,1325.59,427.97,400,434.27
10206365,01.10.006.0911,1100060911,0,1165.86,512.62,789.73,400.66,1306.82,414.82,400,442.32
10206366,01.10.006.0922,1100060922,0,1176.62,473.98,681.05,526.83,1207.27,303.21,400,499.43
10206367,01.10.006.0923,1100060923,0,1176.62,471.66,672.8,536.43,1199.7,294.93,400,526.08
10206368,01.10.006.0431,1100060431,0,1196.96,268.55,341.2,546.04,818.94,133.14,400,532.04
10206369,01.10.006.0921,1100060921,0,1175.12,476.22,689.01,517.22,1214.58,311.24,400,491.2
10206370,01.10.006.0920,1100060920,0,1175.12,478.7,697.41,507.61,1222.27,319.75,400,485.71
10206371,01.10.006.0916,1100060916,0,1170.54,491.35,736.63,460.24,1258.19,359.88,400,491.41
10206372,01.10.006.0919,1100060919,0,1173.61,481.26,705.5,495.91,1229.69,327.99,400,480.98
10206373,01.10.006.0917,1100060917,0,1172.08,487.54,725.1,472.06,1247.64,348.03,400,488.15
