"id","data","endereco","bairro","fonte","nome","url","dom_geo","cluster","x","y","classe_potencial_construtivo","potencial_construtivo","renda","dist_via_principal","dist_via_secundaria","dist_polo_padrao","dist_polo_valoriz","dist_polo_desvaloriz","area","precounit","preco","wkt_the_geom"
13723963,"2022-07-21","Rua Augusto Klapoth","SANTA LUZIA","internet","Jorge Floriani","https://www.jorgefloriani.com.br/imovel/comprar/terreno/brusque/santa-luzia/2966","Dom_Geo_03",3,707938.78,6994466.30,"Baixo Potencial",0,1251.27,44.95,1448.33,9.51,552.73,670.99,319.3,689.01,220000,"POINT(707938.7806010578 6994466.300932409)"
13730996,"2022-07-25","Rua Ademar Botameli","PLANALTO","internet","M7","http://www.imoveisdebrusque.com.br/imovel/73784/terreno-bairro-jardim-azaleia/","Dom_Geo_03",1,710892.59,7005136.48,"Baixo Potencial",0,1400.42,257.62,392.58,40.51,102.07,587.90,260,692.31,180000,"POINT(710892.5919556585 7005136.4827104155)"
13735300,"2022-07-26","Rua Nilo Bianchini","CENTRO I","internet","Baron","https://imobiliariabaron.com.br/imovel/terreno-a-venda-no-centro-de-brusque-sc/277","Dom_Geo_02",2,706012.17,7001607.31,"Alto Potencial",1,2775.65,729.33,223.52,100.34,262.03,1,431.25,695.65,300000,"POINT(706012.1665238423 7001607.30870836)"
13750617,"2022-07-27","Rua Melchior Kohler","RIO BRANCO","internet","Hoffmann","https://www.imobiliariahoffmann.com.br/imovel/724/terreno-em-brusque-no-bairro-rio-branco/","Dom_Geo_02",2,704184.02,6998828.83,"Baixo Potencial",0,1575.26,2740.88,498.29,454.56,887.14,1122.41,1200,708.33,850000,"POINT(704184.021927689 6998828.829227523)"
13735314,"2022-07-26","Rua Hercilio barni","SOUZA CRUZ","internet","LB","http://www.lbimoveis.com/site/detalhes_imovel/484/terreno-no-bairro-souza-cruz--1112-m-souza-cruz-brusque-terreno-medindo-1112-m-sendo-28-de","Dom_Geo_02",2,704755.65,6998981.64,"Baixo Potencial",0,1688.72,2155.61,30.06,1,310.33,1134.25,1112,710.43,790000,"POINT(704755.6484096451 6998981.637016685)"
13701915,"2022-07-18","Res. Florence","VOLTA GRANDE","internet","GOLDINVEST","https://www.goldinvestimoveis.com.br/detalhes_imovel/4895/terreno-no-bairro-volta-grande-brusque-venda-RS185000","Dom_Geo_01",1,709722.79,7009842.97,"Baixo Potencial",0,1198.26,246.48,2883.80,988.34,1,3108.45,260,711.54,185000,"POINT(709722.7865958905 7009842.974556013)"
13677325,"2022-07-13","Rua Ereneu Dalmolini, 200","DOM JOAQUIM","internet","Julio imoveis",NULL,"Dom_Geo_03",0,702742.76,6995232.63,"Baixo Potencial",0,1429.03,4956.87,853.29,1,1202.20,915.61,632,712.03,450000,"POINT(702742.7641351487 6995232.634111783)"
13697848,"2022-07-15","Rua Pedro Cardeal","CEDRINHO","internet","Zucco","https://www.imobiliariazucco.com.br/imovel/terreno-de-385-m-cedrinho-brusque-a-venda-por-280000/TE0212-ZUCC?from=sale","Dom_Geo_03",3,704945.78,6994298.87,"Baixo Potencial",0,1174.75,2612.20,1970.79,47.26,3238.14,1499.66,385,727.27,280000,"POINT(704945.7797605157 6994298.866783895)"
13723820,"2002-07-20","Rua Clementina Sgrott","SAO PEDRO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/4677","Dom_Geo_01",2,706226.88,7002117.95,"Baixo Potencial",0,2476.26,511.31,600.30,366.26,216.79,431.13,535.05,728.90,390000,"POINT(706226.8793407588 7002117.948794219)"
13647416,"2022-07-12","Lot. San Genaro","PRIMEIRO DE MAIO","internet","Julio imoveis",NULL,"Dom_Geo_03",2,707427.29,6998761.08,"Baixo Potencial",0,1421.36,163.25,1196.44,349.49,1,1874.52,465,731.18,340000,"POINT(707427.2850372359 6998761.08126622)"
13721431,"2002-07-20","Rua Porto Rico","SAO PEDRO","internet","William Imoveis","https://www.williamimoveis.com.br/detalhes_imovel/3765","Dom_Geo_01",2,706067.87,7002997.55,"Baixo Potencial",0,1730.49,794.22,365.71,1,126.01,998.20,259.83,731.25,190000,"POINT(706067.8693358916 7002997.547831998)"
13697398,"2022-07-14","Rua São Pedro","SAO PEDRO","internet","Amo imoveis",NULL,"Dom_Geo_01",2,704610.08,7003997.27,"Baixo Potencial",0,984.11,2560.98,16.70,352.09,772.21,607.69,957.21,731.29,700000,"POINT(704610.0822094287 7003997.274442617)"
13735282,"2022-07-26","Rua Helio Imhof","SAO PEDRO",NULL,"Baron","https://imobiliariabaron.com.br/imovel/terreno-a-venda-no-bairro-sao-pedro-em-brusque-sc/275","Dom_Geo_01",2,706205.07,7002689.49,"Baixo Potencial",0,2005.21,522.28,293.12,148.99,1,975.81,410,731.71,300000,"POINT(706205.0674948579 7002689.487096298)"
13697601,"2022-07-14","Rua Porto Rico","SAO PEDRO","internet","Moresco","https://imobiliariamoresco.com.br/imovel/3681/terreno-a-venda-sao-pedro--brusque-sc","Dom_Geo_01",2,706064.88,7002959.22,"Baixo Potencial",0,1760.22,773.81,363.79,1,90.44,1021.48,259.5,732.18,190000,"POINT(706064.8776892711 7002959.215488734)"
